;S;PSU;Met;Ribosome
139;0.7823549661587818;0.23226849115259757;0.977178512085985;0.9993786970478916
140;0.7823519388906043;0.23227146183632313;0.9771921812575682;0.9993928835638115
141;0.7823489347590484;0.23227440981588726;0.9772057447086216;0.9994069567705887
142;0.7823460012893932;0.23227728845433396;0.9772189891089521;0.9994206985394546
143;0.782343124765503;0.23228011121142242;0.9772319760808892;0.9994341720605211
144;0.7823403205075105;0.23228286305337786;0.9772446368832881;0.9994473071352925
145;0.7823375909783576;0.23228554156329415;0.9772569604986183;0.9994600926219497
146;0.7823349108025799;0.23228817164232843;0.9772690606253285;0.9994726449899517
147;0.7823322824500601;0.23229075086676368;0.977280927013912;0.9994849538430781
148;0.7823297399444971;0.23229324584885827;0.9772924061474617;0.9994968622583882
149;0.7823272306423136;0.2322957082481972;0.9773037346786643;0.9995086124741858
150;0.7823247521353676;0.23229814042791058;0.9773149234543007;0.9995202156991889
151;0.7823223340626703;0.23230051330298743;0.9773258394421889;0.9995315359274046
152;0.7823199752733907;0.23230282800274768;0.9773364878435006;0.9995425785846239
153;0.7823176710729928;0.23230508913397924;0.9773468897683139;0.999553365370782
154;0.7823154199642705;0.23230729816590304;0.9773570519712687;0.9995639032947291
155;0.7823132208845177;0.23230945614136136;0.9773669803787286;0.9995741984713419
156;0.7823110814037093;0.23231155563187417;0.9773766376669303;0.9995842129357142
157;0.7823089921468209;0.232313605837232;0.9773860693258006;0.999593993189036
158;0.7823069351346419;0.23231562440058529;0.9773953549799558;0.9996036208301463
159;0.782304896894634;0.23231762454264918;0.9774045551431335;0.9996131578579529
160;0.7823029195422443;0.232319564935181;0.9774134807664888;0.9996224109272509
161;0.7823009781367355;0.23232147005273643;0.9774222438492256;0.9996314947108462
162;0.7822990953134109;0.23232331768310163;0.9774307427976254;0.9996403053384998
163;0.7822972640606115;0.23232511470687675;0.9774390091192167;0.9996488751223064
164;0.7822954860215879;0.2323268595115261;0.9774470354614807;0.9996571966121776
165;0.7822937532625364;0.232328559882558;0.9774548574692205;0.9996653063488161
166;0.7822920706957788;0.23233021099946963;0.9774624531142028;0.9996731818625169
167;0.7822904090565604;0.23233184158001097;0.9774699538024197;0.9996809576684633
168;0.782288789719617;0.23233343064897416;0.9774772635976541;0.9996885356738902
169;0.7822871992731701;0.23233499136745006;0.9774844427338769;0.9996959775703762
170;0.7822856369806482;0.2323365244582426;0.9774914945402952;0.9997032868254323
171;0.7822840864807631;0.23233804597682148;0.9774984924902578;0.9997105386731873
