condition;mu;density;run_time;converged;model;solver
24;0.0830507321749501;1;0.124502897262573;1;A;gbapy
25;0.0562996414742973;1;0.126596212387085;1;A;gbapy
1;3.48059751431637;1;0.295912742614746;1;B;gbapy
2;3.47380160850335;1;0.296540021896362;1;B;gbapy
3;3.46370351891661;1;0.299004316329956;1;B;gbapy
4;3.44876429134718;1;0.290161848068237;1;B;gbapy
5;3.42679990800484;1;0.3071448802948;1;B;gbapy
6;3.39478409209451;1;0.294041156768799;1;B;gbapy
7;3.34865846780922;1;0.288589715957642;1;B;gbapy
8;3.28321687915446;1;0.281139135360718;1;B;gbapy
9;3.19217553165011;1;0.286684989929199;1;B;gbapy
10;3.06858808732667;1;0.274533987045288;1;B;gbapy
11;2.90579286175765;1;0.280369997024536;1;B;gbapy
12;2.69903078106123;1;0.26522421836853;1;B;gbapy
13;2.44764279493687;1;0.254715919494629;1;B;gbapy
14;2.15726558966888;1;0.258257865905762;1;B;gbapy
15;1.84086685152893;1;0.217239141464233;1;B;gbapy
16;1.51738711720543;1;0.218408107757568;1;B;gbapy
17;1.2077780836674;1;0.216578960418701;1;B;gbapy
18;0.929949704758576;1;0.226937055587769;1;B;gbapy
19;0.695033715245482;1;0.209874153137207;1;B;gbapy
20;0.506454972913689;1;0.205410957336426;1;B;gbapy
21;0.361480292500265;1;0.210525989532471;1;B;gbapy
22;0.253819852888187;1;0.215212106704712;1;B;gbapy
23;0.175990488433555;1;0.221749067306519;1;B;gbapy
24;0.120863978880555;1;0.314973115921021;1;B;gbapy
25;0.0824103029381997;1;0.224261045455933;1;B;gbapy
1;2.18910784699073;1;0.620929002761841;1;C;gbapy
2;2.1691132854458;1;0.493594884872437;1;C;gbapy
3;2.13993333743837;1;0.472401857376099;1;C;gbapy
4;2.09788078854127;1;0.469387054443359;1;C;gbapy
5;2.03833949018651;1;0.452349185943604;1;C;gbapy
6;1.95605782344769;1;0.454018831253052;1;C;gbapy
7;1.8459675134519;1;0.454949855804443;1;C;gbapy
8;1.70466367435675;1;0.463364124298096;1;C;gbapy
9;1.53235260929275;1;0.461452007293701;1;C;gbapy
10;1.334519341059;1;0.396619081497192;1;C;gbapy
11;1.12216429727673;1;0.462146043777466;1;C;gbapy
12;0.909835542186097;1;0.405153036117554;1;C;gbapy
13;0.711978850150763;1;0.411885023117065;1;C;gbapy
14;0.539366626900273;1;0.358430147171021;1;C;gbapy
15;0.397296753248314;1;0.340686082839966;1;C;gbapy
16;0.285948400208279;1;0.379473924636841;1;C;gbapy
17;0.20205081622375;1;0.440616846084595;1;C;gbapy
