condition;mu;density;Carbon_met;PSII;PSI;Cyt6bf;ATPase;Rubisco;TCA;AA_s;Ribosome;converged;run_time
87;0.01677184537722138;1.0;0.17799190842671092;1.166981960989115;0.5715351500896164;0.47507897588934794;0.7212031299662626;0.5053924289773363;0.39755699796498084;0.3713460166440448;0.6435547502941282;True;2.105293035507202
88;0.016104757011879096;1.0;0.1776233094286911;1.1671489635559782;0.5716532452373414;0.4752032041257431;0.7214272599807644;0.504851823497843;0.397207520245791;0.3722405995872035;0.6455721224077728;True;2.1317639350891113
89;0.015460870746373307;1.0;0.1772574442568997;1.1673151428288226;0.5717698414998665;0.4753257092099074;0.7216485806727558;0.5043137502194217;0.396859536808871;0.37312628337331905;0.647567570958893;True;2.255272150039673
90;0.01483962441936426;1.0;0.17689432479555678;1.167480479554882;0.5718849558721201;0.4754465091653555;0.7218671013246671;0.5037782167691692;0.39651300659530847;0.37400300692522015;0.6495410840152231;True;2.07108211517334
91;0.014240450287385428;1.0;0.17653410919262424;1.1676448618631856;0.5719985980125976;0.4755656166602222;0.7220827874524497;0.503245595112388;0.3961682830309842;0.3748706639477322;0.6514925145697305;True;2.1182961463928223
92;0.01366277697576457;1.0;0.1761768358750765;1.1678082543819683;0.5721107825519711;0.47568304837725267;0.7222956428124641;0.5027159677033862;0.39582541132803883;0.37572920221326045;0.6534218495356721;True;2.1265690326690674
93;0.013106031267385472;1.0;0.17582257181561228;1.167970603229599;0.5722215233399893;0.47579882067280654;0.7225056634169297;0.5021894914717989;0.39548451948982555;0.37657856726528166;0.6553290584668852;True;2.0653507709503174
94;0.012569639752138036;1.0;0.17547138005417517;1.1681318573426274;0.5723308339318838;0.4759129498576465;0.7227128475560055;0.5016663178101035;0.3951457322572679;0.37741871424754875;0.657214126083964;True;2.1520020961761475
95;0.012053030334570839;1.0;0.17512337237900993;1.1682919341293345;0.5724387264269885;0.47602545132496993;0.7229171790932132;0.5011467211625151;0.39480930896400446;0.37824958639453476;0.6590769960142554;True;2.111409902572632
96;0.011555633616723637;1.0;0.17477855671146514;1.1684508185334945;0.5725452154882932;0.47613634251708264;0.7231186753352357;0.5006307252319402;0.3944752422749203;0.3790711748927907;0.6609177302380237;True;2.0882959365844727
97;0.011076884143434381;1.0;0.17443697818536247;1.16860847097073;0.5726503153585425;0.47624564076701253;0.7233173426082439;0.5001184481552363;0.3941436285532359;0.3798834628623383;0.662736360822528;True;2.1964242458343506
98;0.010616221534004567;1.0;0.17409867987205674;1.1687648535082562;0.572754039865559;0.4763533631909819;0.723513188595416;0.4996100061756349;0.39381456441989443;0.38068644052586403;0.6645329306859641;True;2.071998119354248
99;0.010173091498700205;1.0;0.17376370049742185;1.1689199311437353;0.5728564027869754;0.47645952696749494;0.7237062229431789;0.49910550779237217;0.39348814034771123;0.3814801056068904;0.6663074952561316;True;2.1131253242492676
100;0.009746946744370868;1.0;0.17343214138508783;1.1690736276537423;0.5729574171342988;0.4765641487939806;0.7238964356806825;0.4986052161890531;0.3931646141587916;0.38226443409416355;0.6680600475185895;True;2.146056890487671
101;0.009337247790994978;1.0;0.17310397846228065;1.1692259497453046;0.5730570969197625;0.47666724612704076;0.7240838574717575;0.4981090919752528;0.39284392201817325;0.383039460218808;0.6697907253383711;True;2.140362024307251
102;0.008943463676402332;1.0;0.17277923307680576;1.1693768736240655;0.5731554564870961;0.4767688368175418;0.7242685047149519;0.4976172083535331;0.39252612223620054;0.3838052031971644;0.6714996222556866;True;2.1150190830230713
103;0.008565072577707611;1.0;0.17245800232623537;1.169526325604492;0.5732525092670264;0.47686893802436103;0.7244503695235713;0.49712982366775393;0.39221147206210977;0.3845616520084709;0.6731867501402111;True;2.1081159114837646
104;0.0082015623630084;1.0;0.17214024576092002;1.1696743235111047;0.5733482689724231;0.47696756714752514;0.7246294889879726;0.4966468655749125;0.3918998781477166;0.3853088617906461;0.6748522843852863;True;2.0610618591308594
105;0.00785243104478767;1.0;0.17182597231103464;1.169820851907953;0.573442749827036;0.4770647420397959;0.7248058842359728;0.49616838251574125;0.3915913770912617;0.38604686826246215;0.6764963472051407;True;2.0631461143493652
106;0.0075171871683544994;1.0;0.17151527680103695;1.1699658386241374;0.5735359652627569;0.47716047983739346;0.7249795482567305;0.4956946305800745;0.39128622693545767;0.38677566849258466;0.678118961027508;True;2.0895800590515137
107;0.007195350144818557;1.0;0.17120819053895425;1.170109254085363;0.5736279283330012;0.4772547973812965;0.7251504949426191;0.49522571406682775;0.3909845256941482;0.3874952919715577;0.6797202265848086;True;2.0370991230010986
108;0.006886450522677211;1.0;0.17090455710923547;1.170251192932616;0.5737186534918406;0.4773477130001244;0.7253188007188237;0.49476129054644785;0.39068590148155224;0.38820586697048065;0.681300483776945;True;2.2569899559020996
109;0.006590030157409188;1.0;0.17060461961699108;1.1703914846896584;0.5738081533485214;0.47743924259381404;0.7254844082105971;0.49430196844035473;0.3903909833188677;0.38890731282377333;0.682859561733826;True;2.061720132827759
110;0.00630564242043372;1.0;0.17030815782687142;1.17053026642877;0.5738964425299735;0.4775294050345385;0.7256474163438837;0.4938472604438181;0.39009925348372854;0.3895998048546283;0.684397904010011;True;2.1639223098754883
111;0.006032852246058698;1.0;0.1700154137786311;1.170667369329969;0.5739835322264155;0.47761821463083076;0.7258077666767687;0.4933977676510006;0.3898113295601101;0.3902832547197459;0.6859153242262205;True;2.3221471309661865
112;0.005771236250328228;1.0;0.16972625246101825;1.170802873692755;0.5740694369998494;0.4777056900576756;0.725965529807481;0.49295320857019254;0.38952691368690207;0.39095779918524504;0.6874121660725206;True;3.099807024002075
113;0.005520382723225605;1.0;0.16944064453704943;1.1709367901695662;0.5741541702086015;0.4777918483021304;0.7261207392840565;0.4925135462523791;0.38924595945082935;0.3916235072267745;0.6888886148538145;True;2.0896170139312744
114;0.005279891614266831;1.0;0.16915868473109302;1.1710690480223742;0.5742377432353456;0.47787670412614913;0.7262733860072877;0.49207903433348865;0.3889687223300228;0.39228037434880564;0.690344681632392;True;2.0632545948028564
115;0.0050493745018871565;1.0;0.16888039993603693;1.1711996211523632;0.5743201683354181;0.47796027337614677;0.7264234843775582;0.49164976995800985;0.3886952978581191;0.3929284409466234;0.6917804801828765;True;2.0394351482391357
116;0.004828454516538626;1.0;0.16860580311879036;1.1713284930102663;0.57440145736581;0.47804257145422474;0.7265710529606066;0.49122581566737195;0.3884257440765705;0.393567752310045;0.6931961369836799;True;1.9856460094451904
117;0.004616766250113427;1.0;0.16833478826366877;1.171455724063414;0.5744816256412101;0.47812361746448584;0.7267161521741772;0.49080696258763273;0.38815984458935354;0.39419843816550615;0.6945919691321635;True;2.0357518196105957
118;0.004413955608730999;1.0;0.16806743965724236;1.1715812525011864;0.5745606815909781;0.47820342304292823;0.7268587740281103;0.49039343118042344;0.38789781322038475;0.3948204851773023;0.6959679725226959;True;2.0056281089782715
119;0.004219679688886196;1.0;0.16780378528374995;1.1717050520129524;0.5746386366968215;0.4782820030639555;0.7269989313775636;0.4899853194729529;0.38763974596722506;0.3954339309454629;0.6973242530140145;True;1.9988548755645752
120;0.004033606624444012;1.0;0.16754371396349832;1.1718271854967075;0.5747155077914403;0.4783593780536427;0.7271366868283747;0.4895824126011377;0.3873854272206973;0.3960389202539026;0.6986611546188336;True;1.9480960369110107
121;0.0038554153803236815;1.0;0.16728731427649024;1.171947590218014;0.5747913003964885;0.4784355566456332;0.7272720289638546;0.48918493330075863;0.3871350662347818;0.39663542354396986;0.6999786410893222;True;1.9289231300354004
122;0.0036847955835578794;1.0;0.16703461980565715;1.172066236686003;0.5748660251653382;0.47851055274925386;0.7274049677841212;0.48879299091554296;0.3868887698097416;0.3972234723713438;0.7012768041477765;True;1.9386529922485352
123;0.0035214473176121888;1.0;0.16678565073521057;1.172183104752066;0.5749396921366903;0.4785843796483761;0.7275355172780336;0.48840666110253605;0.38664660774248377;0.3978031022404936;0.7025557466298458;True;1.8900599479675293
124;0.0033650809235825038;1.0;0.1665402834828611;1.1722982637229484;0.5750123209327163;0.47865706046429096;0.7276637449034778;0.48802570897983555;0.3864083542365789;0.39837448283472043;0.7038158594177926;True;1.8874759674072266
125;0.0032154167437563027;1.0;0.16629861366396992;1.172411649551451;0.5750839120088537;0.47872859867715134;0.7277896336896273;0.4876503592887191;0.3861742067010799;0.3989375545057761;0.7050570483870751;True;1.8813729286193848
126;0.003072184920376116;1.0;0.1660606865109962;1.1725232261539544;0.5751544742580722;0.4787990062707453;0.7279131881154657;0.48728074411290573;0.3859442918708386;0.39949233414487134;0.7062793737727903;True;1.8782761096954346
127;0.00293512515924395;1.0;0.16582653461779395;1.1726329662308996;0.5752240160358565;0.4788682946901677;0.7280344164727862;0.48691696386736;0.38571870167355443;0.4000388425364278;0.7074829067347174;True;1.8396689891815186
128;0.0028039865104158164;1.0;0.16559603058221017;1.172740939134234;0.5752925607164388;0.4789364905542582;0.7281533885222919;0.4865587866098764;0.38549722729181823;0.40057727423571415;0.7086680826629793;True;1.8147311210632324
129;0.0026785271025919727;1.0;0.16536912124056224;1.1728471727656968;0.5753601196108926;0.479003608325655;0.7282701425703023;0.48620611936812425;0.3852797689260776;0.4011077157416237;0.7098351176107751;True;1.7998030185699463
