condition;iter;t;dt;mu;doubling_time;density;consistent;mu_diff
70;16300;0.00932577;8.62718e-11;0.360106;2.25368;1;1;0
70;16400;0.00932578;1.72544e-10;0.360106;2.25368;1;1;0
70;16500;0.0093258;6.90175e-11;0.360106;2.25368;1;1;0
70;16600;0.0093258;1.38035e-10;0.360106;2.25368;1;1;0
70;16700;0.00932582;2.7607e-10;0.360106;2.25368;1;1;0
70;16800;0.00932585;1.10428e-10;0.360106;2.25368;1;1;0
70;16900;0.00932586;2.20856e-10;0.360106;2.25368;1;1;0
70;17000;0.00932588;8.83424e-11;0.360106;2.25368;1;1;0
70;17100;0.00932589;1.76685e-10;0.360106;2.25368;1;1;0
70;17200;0.0093259;7.06739e-11;0.360106;2.25368;1;1;0
70;17300;0.00932591;1.41348e-10;0.360106;2.25368;1;1;0
70;17400;0.00932593;2.82696e-10;0.360106;2.25368;1;1;0
70;17500;0.00932596;5.65391e-10;0.360106;2.25368;1;1;0
70;17600;0.00932599;1.13078e-10;0.360106;2.25368;1;1;0
70;17700;0.00932601;2.26156e-10;0.360106;2.25368;1;1;0
70;17800;0.00932603;9.04626e-11;0.360106;2.25368;1;1;0
70;17900;0.00932604;1.80925e-10;0.360106;2.25368;1;1;0
70;18000;0.00932605;7.23701e-11;0.360106;2.25368;1;1;0
70;18100;0.00932606;1.4474e-10;0.360106;2.25368;1;1;0
70;18200;0.00932608;2.8948e-10;0.360106;2.25368;1;1;0
70;18300;0.00932611;1.15792e-10;0.360106;2.25368;1;1;0
70;18400;0.00932612;2.31584e-10;0.360106;2.25368;1;1;0
70;18500;0.00932614;9.26337e-11;0.360106;2.25368;1;1;0
70;18600;0.00932616;1.85267e-10;0.360106;2.25368;1;1;0
70;18700;0.00932618;7.41069e-11;0.360106;2.25368;1;1;0
70;18800;0.00932619;1.48214e-10;0.360106;2.25368;1;1;0
70;18900;0.0093262;2.96428e-10;0.360106;2.25368;1;1;0
70;19000;0.00932623;5.92855e-10;0.360106;2.25368;1;1;0
70;19100;0.00932626;1.18571e-10;0.360106;2.25368;1;1;0
70;19200;0.00932628;2.37142e-10;0.360106;2.25368;1;1;0
70;19300;0.0093263;9.48569e-11;0.360106;2.25368;1;1;0
70;19400;0.00932631;1.89714e-10;0.360106;2.25368;1;1;0
70;19500;0.00932633;7.58855e-11;0.360106;2.25368;1;1;0
70;19600;0.00932634;1.51771e-10;0.360106;2.25368;1;1;0
70;19700;0.00932636;3.03542e-10;0.360106;2.25368;1;1;0
70;19800;0.00932638;1.21417e-10;0.360106;2.25368;1;1;0
70;19900;0.0093264;2.42834e-10;0.360106;2.25368;1;1;0
70;20000;0.00932642;9.71334e-11;0.360106;2.25368;1;1;0
70;20100;0.00932643;1.94267e-10;0.360106;2.25368;1;1;0
70;20200;0.00932645;7.77068e-11;0.360106;2.25368;1;1;0
70;20300;0.00932646;1.55414e-10;0.360106;2.25368;1;1;0
70;20400;0.00932648;3.10827e-10;0.360106;2.25368;1;1;0
70;20500;0.00932652;6.21654e-10;0.360106;2.25368;1;1;0
70;20600;0.00932656;1.24331e-10;0.360106;2.25368;1;1;0
70;20700;0.00932658;2.48662e-10;0.360106;2.25368;1;1;0
70;20800;0.00932659;9.94646e-11;0.360106;2.25368;1;1;0
70;20900;0.00932661;1.98929e-10;0.360106;2.25368;1;1;0
70;21000;0.00932662;7.95717e-11;0.360106;2.25368;1;1;0
70;21100;0.00932663;1.59143e-10;0.360106;2.25368;1;1;0
70;21200;0.00932664;6.36574e-11;0.360106;2.25368;1;1;0
70;21300;0.00932665;1.27315e-10;0.360106;2.25368;1;1;0
70;21400;0.00932667;2.54629e-10;0.360106;2.25368;1;1;0
70;21500;0.00932669;1.01852e-10;0.360106;2.25368;1;1;0
70;21600;0.00932671;2.03704e-10;0.360106;2.25368;1;1;0
70;21700;0.00932672;8.14814e-11;0.360106;2.25368;1;1;0
70;21800;0.00932673;1.62963e-10;0.360106;2.25368;1;1;0
70;21900;0.00932675;6.51852e-11;0.360106;2.25368;1;1;0
70;22000;0.00932676;1.3037e-10;0.360106;2.25368;1;1;0
70;22100;0.00932678;2.60741e-10;0.360106;2.25368;1;1;0
70;22200;0.0093268;1.04296e-10;0.360107;2.25368;1;1;0
70;22300;0.00932681;2.08592e-10;0.360107;2.25368;1;1;0
70;22400;0.00932683;8.3437e-11;0.360107;2.25368;1;1;0
70;22500;0.00932684;1.66874e-10;0.360107;2.25368;1;1;0
70;22600;0.00932686;3.33748e-10;0.360107;2.25368;1;1;0
70;22700;0.00932687;5.33997e-13;0.360107;2.25368;1;1;0
70;22800;0.00932687;1.06799e-12;0.360107;2.25368;1;1;0
70;22900;0.00932687;2.13599e-12;0.360107;2.25368;1;1;0
70;23000;0.00932687;4.27197e-12;0.360107;2.25368;1;1;0
70;23100;0.00932687;8.54395e-12;0.360107;2.25368;1;1;0
70;23200;0.00932688;1.70879e-11;0.360107;2.25368;1;1;0
70;23300;0.00932688;3.41758e-11;0.360107;2.25368;1;1;0
70;23400;0.00932688;6.83516e-11;0.360107;2.25368;1;1;0
70;23500;0.00932689;1.36703e-10;0.360107;2.25368;1;1;0
70;23600;0.00932691;2.73406e-10;0.360107;2.25367;1;1;0
70;23700;0.00932693;1.09363e-10;0.360107;2.25367;1;1;0
70;23800;0.00932695;2.18725e-10;0.360107;2.25367;1;1;0
70;23900;0.00932696;8.749e-11;0.360107;2.25367;1;1;0
70;24000;0.00932698;1.7498e-10;0.360107;2.25367;1;1;0
70;24100;0.00932699;6.9992e-11;0.360107;2.25367;1;1;0
70;24200;0.009327;1.39984e-10;0.360107;2.25367;1;1;0
70;24300;0.00932702;2.79968e-10;0.360107;2.25367;1;1;0
70;24400;0.00932705;1.11987e-10;0.360107;2.25367;1;1;0
70;24500;0.00932706;2.23974e-10;0.360107;2.25367;1;1;0
70;24600;0.00932708;8.95898e-11;0.360107;2.25367;1;1;0
70;24700;0.00932709;1.7918e-10;0.360107;2.25367;1;1;0
70;24800;0.00932712;3.58359e-10;0.360107;2.25367;1;1;0
70;24900;0.00932712;7.16718e-11;0.360107;2.25367;1;1;0
70;25000;0.00932714;1.43344e-10;0.360107;2.25367;1;1;0
70;25100;0.00932717;2.86687e-10;0.360107;2.25367;1;1;0
70;25200;0.00932718;1.14675e-10;0.360107;2.25367;1;1;0
70;25300;0.0093272;2.2935e-10;0.360107;2.25367;1;1;0
70;25400;0.00932721;9.17399e-11;0.360107;2.25367;1;1;0
70;25500;0.00932723;1.8348e-10;0.360107;2.25367;1;1;0
70;25600;0.00932724;7.3392e-11;0.360107;2.25367;1;1;0
70;25700;0.00932725;1.46784e-10;0.360107;2.25367;1;1;0
70;25800;0.00932728;2.93568e-10;0.360107;2.25367;1;1;0
70;25900;0.00932729;1.17427e-10;0.360107;2.25367;1;1;0
70;26000;0.00932732;2.34854e-10;0.360107;2.25367;1;1;0
70;26100;0.00932733;9.39417e-11;0.360107;2.25367;1;1;0
70;26200;0.00932734;1.87883e-10;0.360107;2.25367;1;1;0
70;26300;0.00932735;7.51534e-11;0.360107;2.25367;1;1;0
70;26400;0.00932737;1.50307e-10;0.360107;2.25367;1;1;0
70;26500;0.0093274;3.00613e-10;0.360107;2.25367;1;1;0
70;26600;0.00932744;1.20245e-10;0.360107;2.25367;1;1;0
70;26700;0.00932745;2.40491e-10;0.360107;2.25367;1;1;0
70;26800;0.00932747;9.61963e-11;0.360107;2.25367;1;1;0
70;26900;0.00932748;1.92393e-10;0.360107;2.25367;1;1;0
70;27000;0.0093275;7.6957e-11;0.360107;2.25367;1;1;0
70;27100;0.00932751;1.53914e-10;0.360107;2.25367;1;1;0
70;27200;0.00932753;3.07828e-10;0.360107;2.25367;1;1;0
70;27300;0.00932753;4.92525e-13;0.360107;2.25367;1;1;0
70;27400;0.00932753;9.8505e-13;0.360107;2.25367;1;1;0
70;27500;0.00932753;1.9701e-12;0.360107;2.25367;1;1;0
70;27600;0.00932753;3.9402e-12;0.360107;2.25367;1;1;0
70;27700;0.00932753;7.8804e-12;0.360107;2.25367;1;1;0
70;27800;0.00932753;1.57608e-11;0.360107;2.25367;1;1;0
70;27900;0.00932754;3.15216e-11;0.360107;2.25367;1;1;0
70;28000;0.00932754;6.30432e-11;0.360107;2.25367;1;1;0
70;28100;0.00932755;1.26086e-10;0.360107;2.25367;1;1;0
70;28200;0.00932758;2.52173e-10;0.360107;2.25367;1;1;0
70;28300;0.00932759;1.00869e-10;0.360107;2.25367;1;1;0
70;28400;0.00932761;2.01738e-10;0.360107;2.25367;1;1;0
70;28500;0.00932762;8.06953e-11;0.360107;2.25367;1;1;0
70;28600;0.00932764;1.61391e-10;0.360107;2.25367;1;1;0
70;28700;0.00932765;6.45562e-11;0.360107;2.25367;1;1;0
